Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22576118	(1.0, 80.85436336449668)	(2.0, 13.755100558068792)	(3.0, 3.1039082278568593)	(4.0, 0.9370812917327567)	(5.0, 0.44306927384903305)	(6.0, 0.2183208183561005)	(7.0, 0.13399517200784927)	(8.0, 0.09786131714789813)	(9.0, 0.05455500694036772)	('>10', 0.31858624199160596)	('>50', 0.02837190059481751)	('>100', 0.01973761736010538)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03504920959714783)
SRR22576119	(1.0, 44.51731660867306)	(2.0, 19.56499269263504)	(3.0, 10.035009403405697)	(4.0, 5.937276553336175)	(5.0, 4.016101900050715)	(6.0, 3.0175630401447298)	(7.0, 2.1988585158439546)	(8.0, 1.6414675696686076)	(9.0, 1.2486981171595766)	('>10', 6.826086782877749)	('>50', 0.5508269175695261)	('>100', 0.3435441429516573)	('>500', 0.008855703015069709)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.09340205266857193)
SRR22576120	(1.0, 49.34225367742848)	(2.0, 16.362177676250127)	(3.0, 7.283715341576688)	(4.0, 4.167301910919512)	(5.0, 3.0288251576364127)	(6.0, 2.2473611768435773)	(7.0, 1.8282497438203391)	(8.0, 1.4608661094524527)	(9.0, 1.2162760096878473)	('>10', 11.72178859846)	('>50', 0.9442903822028422)	('>100', 0.27921871893017414)	('>500', 0.02774358031742525)	('>1k', 0.004689927640147404)	('>5k', 0.0)	('>10k+', 0.08524198883409292)
SRR22576121	(1.0, 59.501285543026725)	(2.0, 21.487619329897765)	(3.0, 8.12285420072433)	(4.0, 3.6010248512575527)	(5.0, 1.802203527443461)	(6.0, 1.0402713319458337)	(7.0, 0.6249735835498346)	(8.0, 0.4321227332260348)	(9.0, 0.2717436768514963)	('>10', 1.371936955771526)	('>50', 0.13517545320397528)	('>100', 0.17110202640000105)	('>500', 0.11692737333405176)	('>1k', 0.23247761979829992)	('>5k', 0.15421121292491538)	('>10k+', 0.9340705806442267)
SRR22576122	(1.0, 49.79649692377445)	(2.0, 20.58606344530417)	(3.0, 9.744678763169059)	(4.0, 5.445058407072874)	(5.0, 3.5199924455050873)	(6.0, 2.371358439828773)	(7.0, 1.6959977388395588)	(8.0, 1.231262255196277)	(9.0, 0.9433790299764584)	('>10', 4.241578775467619)	('>50', 0.2005538921140745)	('>100', 0.1071633571430799)	('>500', 0.0012813135812168083)	('>1k', 0.0033748435723411144)	('>5k', 0.0)	('>10k+', 0.11176036945493037)
SRR22576123	(1.0, 56.13871078809712)	(2.0, 20.671449122920873)	(3.0, 7.9839571828789575)	(4.0, 3.8020432117139578)	(5.0, 2.193390999038065)	(6.0, 1.4267397833606739)	(7.0, 1.0698580243614715)	(8.0, 0.7715748699427152)	(9.0, 0.5929792891076037)	('>10', 3.9412377344553264)	('>50', 0.43236345092500944)	('>100', 0.5217602510480285)	('>500', 0.13032312191139586)	('>1k', 0.2220221713120739)	('>5k', 0.029930958447830124)	('>10k+', 0.07165904047892582)
SRR22576124	(1.0, 60.75192910965915)	(2.0, 21.210098761208044)	(3.0, 7.872508147087309)	(4.0, 3.5716587571837657)	(5.0, 1.921147411688277)	(6.0, 1.087926238139363)	(7.0, 0.6946830603077726)	(8.0, 0.4754617695212633)	(9.0, 0.3764022864066179)	('>10', 1.7483655840220693)	('>50', 0.144962949031451)	('>100', 0.07426627200224852)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07058965374264055)
SRR22576125	(1.0, 56.43635937485665)	(2.0, 19.92948926159739)	(3.0, 8.191552059092306)	(4.0, 4.132755430057565)	(5.0, 2.448153245228309)	(6.0, 1.5996817265409167)	(7.0, 1.154911866630987)	(8.0, 0.8339613658751246)	(9.0, 0.671017134002999)	('>10', 4.056504300984094)	('>50', 0.31541191717495004)	('>100', 0.1614571509266468)	('>500', 0.0036729647022098566)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06507220232992054)
SRR22576126	(1.0, 58.073615313865126)	(2.0, 22.192239704385457)	(3.0, 8.775667252242043)	(4.0, 3.907510025382005)	(5.0, 2.067324065454621)	(6.0, 1.1563298660037877)	(7.0, 0.7532498902848473)	(8.0, 0.4960756105406443)	(9.0, 0.4201245903282079)	('>10', 1.8885892759214225)	('>50', 0.13840970170914715)	('>100', 0.053317462208388365)	('>500', 0.0013446717541919359)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07620256992014816)
SRR22576127	(1.0, 46.85175932540426)	(2.0, 20.61957814446566)	(3.0, 9.572910462244694)	(4.0, 5.086305355807929)	(5.0, 3.249054624951265)	(6.0, 2.335302571991682)	(7.0, 1.6772735817275426)	(8.0, 1.3093770852930953)	(9.0, 1.040080527933485)	('>10', 6.801546380296059)	('>50', 0.5606252343899372)	('>100', 0.4868104491304933)	('>500', 0.13580745906426672)	('>1k', 0.18856407154421267)	('>5k', 0.02797625281091209)	('>10k+', 0.05702847294433868)
SRR22576128	(1.0, 52.451152685324)	(2.0, 20.191240210740023)	(3.0, 8.221967091838952)	(4.0, 4.3460567710602)	(5.0, 2.661734601837451)	(6.0, 1.9644587656789467)	(7.0, 1.4310228855871487)	(8.0, 1.1042431878404706)	(9.0, 0.8973702098499623)	('>10', 6.005924678496555)	('>50', 0.38652034889523484)	('>100', 0.2647743883473869)	('>500', 0.007353200710568477)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06618097379313949)
SRR22576129	(1.0, 56.16399311330681)	(2.0, 22.003985217496886)	(3.0, 8.96674165432945)	(4.0, 4.185059282782053)	(5.0, 2.337627290075365)	(6.0, 1.5256779274941275)	(7.0, 0.98635346905968)	(8.0, 0.7512660367567232)	(9.0, 0.5108626153454601)	('>10', 2.364321996080549)	('>50', 0.11131129802941034)	('>100', 0.03319504778982571)	('>500', 0.002791227304715276)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05681382414897927)
SRR22576130	(1.0, 59.21413133522431)	(2.0, 21.44834735583805)	(3.0, 8.317624349597521)	(4.0, 3.725928535284769)	(5.0, 2.036046411129413)	(6.0, 1.20966830531502)	(7.0, 0.8695344495931848)	(8.0, 0.5640435029373387)	(9.0, 0.4067614863267092)	('>10', 2.0157855155688402)	('>50', 0.10900705040124214)	('>100', 0.032057915010014384)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05106378777352592)
SRR22576131	(1.0, 59.64763580171992)	(2.0, 16.67347959244471)	(3.0, 6.7657629415741996)	(4.0, 3.801435125019656)	(5.0, 2.547328575790868)	(6.0, 1.8921636143551857)	(7.0, 1.4080297084498512)	(8.0, 1.1007840180525936)	(9.0, 0.9349222034002307)	('>10', 5.0627969733905225)	('>50', 0.09377697025312944)	('>100', 0.037737299509734826)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03414717603940883)
SRR22576132	(1.0, 69.32391167309446)	(2.0, 16.70869088185169)	(3.0, 5.833156926730023)	(4.0, 2.7274548137491825)	(5.0, 1.5647511075247558)	(6.0, 0.9205862958593227)	(7.0, 0.6732320434457051)	(8.0, 0.4635172178569569)	(9.0, 0.31277991793938603)	('>10', 1.285921487555565)	('>50', 0.08640568495038346)	('>100', 0.06133351888349233)	('>500', 0.002121577163543176)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03613685339547274)
