Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
SRR22576122	(11.0, 21.0)	(12.0, 830.0)	(13.0, 4630.0)	(14.0, 11672.0)	(15.0, 17033.0)	(16.0, 18904.0)	(17.0, 19126.0)	(18.0, 20709.0)	(19.0, 27061.0)	(20.0, 41378.0)	(21.0, 69114.0)	(22.0, 116052.0)	(23.0, 182689.0)	(24.0, 248662.0)	(25.0, 303592.0)	(26.0, 360426.0)	(27.0, 441283.0)	(28.0, 550659.0)	(29.0, 718244.0)	(30.0, 960838.0)	(31.0, 1370605.0)	(32.0, 2102072.0)	(33.0, 3577043.0)	(34.0, 7364245.0)	(35.0, 22046323.0)	(36.0, 80785454.0)	(37.0, 5332208.0)		
SRR22576123	(11.0, 18.0)	(12.0, 528.0)	(13.0, 2861.0)	(14.0, 6580.0)	(15.0, 9417.0)	(16.0, 11188.0)	(17.0, 12644.0)	(18.0, 15678.0)	(19.0, 21679.0)	(20.0, 32883.0)	(21.0, 54186.0)	(22.0, 91617.0)	(23.0, 143151.0)	(24.0, 190352.0)	(25.0, 216211.0)	(26.0, 237064.0)	(27.0, 284721.0)	(28.0, 364839.0)	(29.0, 490879.0)	(30.0, 686415.0)	(31.0, 1018969.0)	(32.0, 1644215.0)	(33.0, 2983798.0)	(34.0, 6587830.0)	(35.0, 20483189.0)	(36.0, 67716715.0)	(37.0, 3975172.0)		
SRR22576124	(11.0, 10.0)	(12.0, 424.0)	(13.0, 1947.0)	(14.0, 4327.0)	(15.0, 5500.0)	(16.0, 5951.0)	(17.0, 6372.0)	(18.0, 7635.0)	(19.0, 11212.0)	(20.0, 18451.0)	(21.0, 33632.0)	(22.0, 59551.0)	(23.0, 95723.0)	(24.0, 131975.0)	(25.0, 161103.0)	(26.0, 189587.0)	(27.0, 235252.0)	(28.0, 300410.0)	(29.0, 397567.0)	(30.0, 537442.0)	(31.0, 767533.0)	(32.0, 1173327.0)	(33.0, 1973811.0)	(34.0, 4046932.0)	(35.0, 12579001.0)	(36.0, 57145954.0)	(37.0, 4761955.0)		
SRR22576125	(11.0, 22.0)	(12.0, 695.0)	(13.0, 4051.0)	(14.0, 9100.0)	(15.0, 11579.0)	(16.0, 12530.0)	(17.0, 13521.0)	(18.0, 18390.0)	(19.0, 29630.0)	(20.0, 52980.0)	(21.0, 97235.0)	(22.0, 172357.0)	(23.0, 278610.0)	(24.0, 384081.0)	(25.0, 467129.0)	(26.0, 545326.0)	(27.0, 655583.0)	(28.0, 813474.0)	(29.0, 1044353.0)	(30.0, 1372239.0)	(31.0, 1914751.0)	(32.0, 2868077.0)	(33.0, 4719177.0)	(34.0, 9352586.0)	(35.0, 26389443.0)	(36.0, 93324451.0)	(37.0, 6556406.0)		
SRR22576126	(11.0, 49.0)	(12.0, 916.0)	(13.0, 2996.0)	(14.0, 5794.0)	(15.0, 7706.0)	(16.0, 8796.0)	(17.0, 10232.0)	(18.0, 12914.0)	(19.0, 19188.0)	(20.0, 31051.0)	(21.0, 54961.0)	(22.0, 94940.0)	(23.0, 152410.0)	(24.0, 207913.0)	(25.0, 251856.0)	(26.0, 293033.0)	(27.0, 353471.0)	(28.0, 438420.0)	(29.0, 561878.0)	(30.0, 738751.0)	(31.0, 1017734.0)	(32.0, 1495131.0)	(33.0, 2435178.0)	(34.0, 4848899.0)	(35.0, 15219558.0)	(36.0, 74788413.0)	(37.0, 6876605.0)		
SRR22576127	(11.0, 16.0)	(12.0, 361.0)	(13.0, 1775.0)	(14.0, 3689.0)	(15.0, 5108.0)	(16.0, 6236.0)	(17.0, 7740.0)	(18.0, 11455.0)	(19.0, 18320.0)	(20.0, 31135.0)	(21.0, 54134.0)	(22.0, 94322.0)	(23.0, 154629.0)	(24.0, 219717.0)	(25.0, 272146.0)	(26.0, 322073.0)	(27.0, 392716.0)	(28.0, 495144.0)	(29.0, 652614.0)	(30.0, 879181.0)	(31.0, 1252652.0)	(32.0, 1926539.0)	(33.0, 3302712.0)	(34.0, 6872210.0)	(35.0, 19961278.0)	(36.0, 62091928.0)	(37.0, 3683123.0)		
SRR22576128	(11.0, 6.0)	(12.0, 147.0)	(13.0, 877.0)	(14.0, 2085.0)	(15.0, 2751.0)	(16.0, 3089.0)	(17.0, 3197.0)	(18.0, 3999.0)	(19.0, 6019.0)	(20.0, 10166.0)	(21.0, 18362.0)	(22.0, 33962.0)	(23.0, 58646.0)	(24.0, 86327.0)	(25.0, 109071.0)	(26.0, 132933.0)	(27.0, 163498.0)	(28.0, 208476.0)	(29.0, 272718.0)	(30.0, 363771.0)	(31.0, 511516.0)	(32.0, 773969.0)	(33.0, 1297049.0)	(34.0, 2649991.0)	(35.0, 7823938.0)	(36.0, 28454485.0)	(37.0, 1944676.0)		
SRR22576129	(11.0, 22.0)	(12.0, 475.0)	(13.0, 2147.0)	(14.0, 4108.0)	(15.0, 5242.0)	(16.0, 5736.0)	(17.0, 6570.0)	(18.0, 9202.0)	(19.0, 15065.0)	(20.0, 26515.0)	(21.0, 48160.0)	(22.0, 89188.0)	(23.0, 153230.0)	(24.0, 227417.0)	(25.0, 290774.0)	(26.0, 349719.0)	(27.0, 435560.0)	(28.0, 548545.0)	(29.0, 719743.0)	(30.0, 963827.0)	(31.0, 1375389.0)	(32.0, 2126113.0)	(33.0, 3636458.0)	(34.0, 7357410.0)	(35.0, 19359688.0)	(36.0, 48301895.0)	(37.0, 2223902.0)		
SRR22576130	(11.0, 11.0)	(12.0, 268.0)	(13.0, 1402.0)	(14.0, 2713.0)	(15.0, 3377.0)	(16.0, 3866.0)	(17.0, 4436.0)	(18.0, 5812.0)	(19.0, 9352.0)	(20.0, 16893.0)	(21.0, 31265.0)	(22.0, 57223.0)	(23.0, 95958.0)	(24.0, 139141.0)	(25.0, 176498.0)	(26.0, 214412.0)	(27.0, 263751.0)	(28.0, 331364.0)	(29.0, 426993.0)	(30.0, 565974.0)	(31.0, 791556.0)	(32.0, 1183928.0)	(33.0, 1987331.0)	(34.0, 4094411.0)	(35.0, 12447564.0)	(36.0, 51456473.0)	(37.0, 3783473.0)		
SRR22576131	(12.0, 79.0)	(13.0, 607.0)	(14.0, 1647.0)	(15.0, 2445.0)	(16.0, 2798.0)	(17.0, 3148.0)	(18.0, 4071.0)	(19.0, 6393.0)	(20.0, 12277.0)	(21.0, 24433.0)	(22.0, 46986.0)	(23.0, 83861.0)	(24.0, 135046.0)	(25.0, 195314.0)	(26.0, 263322.0)	(27.0, 344611.0)	(28.0, 448313.0)	(29.0, 585674.0)	(30.0, 763140.0)	(31.0, 1011549.0)	(32.0, 1397013.0)	(33.0, 2176883.0)	(34.0, 4582664.0)	(35.0, 9811481.0)	(36.0, 13161142.0)	(37.0, 79581.0)			
SRR22576132	(12.0, 135.0)	(13.0, 857.0)	(14.0, 2010.0)	(15.0, 2741.0)	(16.0, 3167.0)	(17.0, 4110.0)	(18.0, 6679.0)	(19.0, 12392.0)	(20.0, 24960.0)	(21.0, 47538.0)	(22.0, 82046.0)	(23.0, 130651.0)	(24.0, 194143.0)	(25.0, 267504.0)	(26.0, 353151.0)	(27.0, 459385.0)	(28.0, 597683.0)	(29.0, 776094.0)	(30.0, 1016617.0)	(31.0, 1360016.0)	(32.0, 1910912.0)	(33.0, 3071032.0)	(34.0, 6089180.0)	(35.0, 10017427.0)	(36.0, 15007003.0)	(37.0, 65973.0)			
