Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22576114	SRR22576114.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	75821138.0	11.1 Gbp	0.0	50-150	45.0	84.43477350337571	294.89818283919715	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	warn
SRR22576115	SRR22576115.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	148710130.0	21.8 Gbp	0.0	50-150	48.0	63.46649390897401	294.24153239258146	150	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
SRR22576116	SRR22576116.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	76352283.0	11.2 Gbp	0.0	50-150	45.0	83.36192749592878	294.9786689351516	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	warn
SRR22576117	SRR22576117.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	115984379.0	17 Gbp	0.0	50-150	48.0	77.67341719379777	294.3678848856017	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR22576118	SRR22576118.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	36418910.0	8.2 Gbp	0.0	50-250	45.0	88.68134939417483	455.0685061277232	250	pass	pass	pass	fail	warn	pass	warn	pass	pass	fail
SRR22576119	SRR22576119.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	80957961.0	11.9 Gbp	0.0	50-150	42.0	61.08269394553293	295.498664831739	150	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
SRR22576120	SRR22576120.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	165495416.0	24.2 Gbp	0.0	50-150	49.0	62.67971790409052	293.5557548222363	150	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
SRR22576121	SRR22576121.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	81256162.0	11.9 Gbp	0.0	50-150	45.0	74.32677125610495	294.37538543230727	150	pass	pass	pass	fail	pass	pass	warn	pass	warn	fail
SRR22576122	SRR22576122.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	121410492.0	17.9 Gbp	0.0	50-150	45.0	66.10828786773435	295.70554473990603	150	pass	pass	pass	fail	warn	pass	warn	warn	pass	warn
SRR22576123	SRR22576123.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	102781122.0	15.1 Gbp	0.0	50-150	43.0	71.26865571062065	295.7452920731883	150	pass	pass	pass	fail	fail	pass	warn	pass	pass	warn
SRR22576124	SRR22576124.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	81521479.0	12 Gbp	0.0	50-150	46.0	75.56443993484896	296.5647235251951	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	warn
SRR22576125	SRR22576125.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	144353631.0	21.2 Gbp	0.0	50-150	46.0	71.00868480436799	295.0428298232415	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	warn
SRR22576126	SRR22576126.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	105776388.0	15.6 Gbp	0.0	50-150	46.0	73.73354624511336	296.51536203429447	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	warn
SRR22576127	SRR22576127.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	98561665.0	14.5 Gbp	0.0	50-150	41.0	63.05416112490391	294.9667878530664	150	pass	pass	pass	fail	fail	pass	warn	warn	pass	warn
SRR22576128	SRR22576128.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	43240008.0	6.3 Gbp	0.0	50-150	43.0	67.57990128927108	295.54160867639064	150	pass	pass	pass	fail	warn	pass	warn	warn	pass	warn
SRR22576129	SRR22576129.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	84317353.0	12.3 Gbp	0.0	50-150	45.0	71.89469593082055	294.18573387259914	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	warn
SRR22576130	SRR22576130.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	75142948.0	11.1 Gbp	0.0	50-150	47.0	74.35958462202919	296.3372978193509	150	pass	pass	pass	fail	pass	pass	warn	pass	pass	warn
SRR22576131	SRR22576131.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	32983322.0	7.5 Gbp	0.0	50-250	48.0	71.93590128522604	458.557476017728	250	pass	pass	pass	fail	warn	pass	warn	pass	pass	fail
SRR22576132	SRR22576132.sra_2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	38705426.0	8.8 Gbp	0.0	50-250	48.0	80.36723658128811	459.2854353288864	250	pass	pass	pass	fail	pass	pass	warn	pass	pass	fail
